year,academic_year,avg_grants_per_ug_2024dollars,avg_loans_per_ug_2024dollars
1990,1990-91,3997,2149
1991,1991-92,4273,2164
1992,1992-93,4544,2170
1993,1993-94,4576,2878
1994,1994-95,4639,3727
1995,1995-96,4629,4333
1996,1996-97,4733,4614
1997,1997-98,4982,4761
1998,1998-99,5430,4871
1999,1999-00,5582,5192
2000,2000-01,5741,5175
2001,2001-02,6011,5327
2002,2002-03,6324,5813
2003,2003-04,6681,6613
2004,2004-05,6782,7189
2005,2005-06,6763,7547
2006,2006-07,6934,7712
2007,2007-08,7163,8107
2008,2008-09,7548,8039
2009,2009-10,9106,8208
2010,2010-11,9921,8165
2011,2011-12,9726,8063
2012,2012-13,10096,7794
2013,2013-14,10415,7580
2014,2014-15,10733,7279
2015,2015-16,11051,7172
2016,2016-17,11106,7033
2017,2017-18,11497,6798
2018,2018-19,11565,6513
2019,2019-20,11725,6348
2020,2020-21,11873,5693
2021,2021-22,11937,5554
2022,2022-23,11718,5325
2023,2023-24,11860,5007
2024,2024-25,12080,4815
